,index,zn,black,rad,indus,ptratio,medv,lstat,nbgde,chas,ftyrgv,ID,crim,dis,tax,rm,age,nox
0,125,0.0,396.9,3.0,88876599956788.0,17.8,37.2,5.04,5.04,0.0,34567,180,0.0578,2829.0,193.0,6.98,58.4,88876599956788.0
1,171,22.0,396.28,88876599956788.0,88876599956788.0,19.1,24.4,5.9,5.9,88876599956788.0,34567,251,0.1403,7.3967,330.0,88876599956788.0,13.0,431.0
2,259,0.0,396.9,24.0,18.1,20.2,-26543765432345.0,16.35,16.35,0.0,34567,395,13.3598,1.7821,666.0,-26543765432345.0,94.7,693.0
3,72,0.0,387.69,gdhg7u8whui 784gryb,8.56,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,14.09,14.09,gdhg7u8whui 784gryb,34567,108,0.13117,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,6127.0,85.2,0.52
4,250,0.0,396.9,24.0,18.1,20.2,13.3,21.24,21.24,0.0,34567,378,9.82349,1358.0,666.0,6794.0,98.8,671.0
5,169,22.0,374.71,7.0,5.86,19.1,,9.52,9.52,0.0,34567,,0.16439,7.8265,330.0,6433.0,49.1,431.0
6,259,0.0,396.9,24.0,18.1,20.2,12.7,16.35,16.35,0.0,34567,395,13.3598,1.7821,666.0,5887.0,94.7,693.0
7,114,88876599956788.0,88876599956788.0,88876599956788.0,88876599956788.0,88876599956788.0,23.8,12.14,12.14,0.0,34567,168,88876599956788.0,2.4259,403.0,5877.0,79.2,605.0
8,116,gdhg7u8whui 784gryb,292.29,5.0,19.58,14.7,17.4,14.43,14.43,0.0,34567,171,gdhg7u8whui 784gryb,2.4259,403.0,gdhg7u8whui 784gryb,94.6,605.0
9,118,,396.9,5.0,,16.6,,14.69,14.69,0.0,34567,173.0,,2.5961,296.0,5572.0,88.5,0.51
10,390,0.0,18.82,88876599956788.0,18.1,88876599956788.0,10.9,14.52,14.52,0.0,34567,428,37.6619,1.8629,666.0,88876599956788.0,88876599956788.0,679.0
11,117,0.0,348.13,5.0,19.58,14.7,19.1,12.03,12.03,0.0,34567,172,2.3139,2.3887,403.0,5.88,97.3,-26543765432345.0
12,123,0.0,gdhg7u8whui 784gryb,5.0,4.05,16.6,gdhg7u8whui 784gryb,6.29,6.29,gdhg7u8whui 784gryb,34567,178,gdhg7u8whui 784gryb,3.3175,296.0,6315.0,gdhg7u8whui 784gryb,0.51
13,441,0.0,388.22,24.0,18.1,20.2,20.6,11.45,11.45,0.0,34567,488,-26543765432345.0,-26543765432345.0,-26543765432345.0,5905.0,53.2,583.0
14,320,0.0,392.68,24.0,18.1,20.2,19.1,14.98,14.98,0.0,34567,487,5.69175,3.5459,666.0,6114.0,79.8,583.0
15,225,0.0,396.9,-26543765432345.0,5.19,20.2,-26543765432345.0,9.29,9.29,0.0,34567,341,0.06151,4.8122,-26543765432345.0,5968.0,58.5,515.0
16,378,0.0,396.9,88876599956788.0,88876599956788.0,20.2,7.2,20.32,20.32,0.0,34567,402,14.2362,1.5741,666.0,6343.0,88876599956788.0,693.0
17,77,0.0,393.3,6.0,10.01,17.8,21.2,-26543765432345.0,-26543765432345.0,-26543765432345.0,34567,117,0.13158,2.7301,-26543765432345.0,6176.0,72.5,-26543765432345.0
18,429,0.0,240.16,5.0,19.58,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,166,2924.0,2.2834,403.0,6101.0,93.0,605.0
19,156,0.0,372.08,8.0,6.2,17.4,31.6,6.36,6.36,0.0,34567,228.0,0.41238,3.2157,307.0,7163.0,79.9,504.0
20,292,88876599956788.0,355.29,24.0,88876599956788.0,20.2,15.2,17.73,17.73,0.0,34567,452,88876599956788.0,2.3552,666.0,6655.0,98.2,713.0
21,63,0.0,gdhg7u8whui 784gryb,2.0,gdhg7u8whui 784gryb,17.8,22.6,8.81,8.81,0.0,34567,91,0.04684,3.0923,270.0,6417.0,66.1,489.0
22,136,60.0,393.37,1.0,gdhg7u8whui 784gryb,15.6,31.1,5.03,5.03,0.0,34567,194,0.02187,6.2196,265.0,gdhg7u8whui 784gryb,9.9,401.0
23,170,22.0,,7.0,5.86,19.1,,6.56,6.56,0.0,34567,250.0,0.19073,7.8265,330.0,6718.0,17.5,
24,224,0.0,396.9,5.0,5.19,20.2,19.0,9.74,9.74,0.0,34567,340,0.05497,4.8122,224.0,5985.0,45.4,515.0
25,26,0.0,389.39,3.0,6.91,17.9,21.2,9.55,9.55,0.0,34567,45,0.12269,5.7209,233.0,6069.0,40.0,448.0
26,155,0.0,387.38,8.0,6.2,17.4,88876599956788.0,3.13,3.13,0.0,34567,227,0.38214,3.2157,307.0,8.04,86.5,504.0
27,201,34.0,390.43,7.0,6.09,16.1,33.1,4.86,4.86,0.0,34567,304,0.1,5.4917,329.0,6982.0,17.7,xxxxx
28,290,0.0,388.52,24.0,18.1,20.2,12.6,16.44,16.44,0.0,34567,448,9.92485,2198.0,666.0,6251.0,96.6,0.74
29,295,0.0,50.92,24.0,18.1,20.2,14.1,18.13,18.13,0.0,34567,456,4.75237,2.4358,666.0,6525.0,86.5,713.0
30,426,0.0,374.43,5.0,19.58,14.7,50.0,1.73,1.73,0.0,34567,162,1.46336,1.9709,403.0,7489.0,90.8,605.0
31,48,0.0,gdhg7u8whui 784gryb,4.0,10.81,19.2,22.8,5.52,5.52,0.0,34567,73,gdhg7u8whui 784gryb,5.2873,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,7.8,413.0
32,5,12.5,392.52,5.0,88876599956788.0,15.2,15.0,20.45,20.45,0.0,34567,11,0.22489,6.3467,311.0,88876599956788.0,94.3,524.0
33,386,0.0,88876599956788.0,24.0,18.1,20.2,8.8,20.62,20.62,88876599956788.0,34567,419,73.5341,1.8026,666.0,88876599956788.0,88876599956788.0,679.0
34,61,0.0,88876599956788.0,2.0,88876599956788.0,17.8,23.6,88876599956788.0,88876599956788.0,0.0,34567,89,0.0566,3.4217,270.0,7007.0,86.3,489.0
35,326,0.0,-26543765432345.0,-26543765432345.0,9.69,19.2,21.8,12.01,12.01,0.0,34567,-26543765432345,0.17331,-26543765432345.0,391.0,5707.0,54.0,585.0
36,345,0.0,396.9,5.0,4.05,16.6,23.1,14.69,14.69,0.0,34567,173,0.13914,2.5961,296.0,5572.0,88.5,0.51
37,83,0.0,378.09,2.0,25.65,19.1,20.5,17.93,17.93,0.0,34567,123,0.09299,2.0869,188.0,5961.0,92.9,581.0
38,312,0.0,396.21,24.0,18.1,20.2,16.7,18.68,18.68,0.0,34567,477,4.87141,2.3053,666.0,6484.0,93.6,614.0
39,341,0.0,394.46,3.0,6.91,gdhg7u8whui 784gryb,24.7,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,34567,515,0.15936,5.7209,233.0,6211.0,6.5,448.0
40,99,-26543765432345.0,391.71,5.0,19.58,14.7,14.6,29.53,29.53,-26543765432345.0,34567,148,2.36862,1.4608,403.0,4926.0,95.7,871.0
41,83,0.0,378.09,gdhg7u8whui 784gryb,25.65,gdhg7u8whui 784gryb,20.5,17.93,17.93,0.0,34567,123,0.09299,gdhg7u8whui 784gryb,188.0,5961.0,92.9,581.0
42,325,0.0,396.9,4.0,27.74,20.1,88876599956788.0,13.35,13.35,0.0,34567,88876599956788,0.11132,2.1099,711.0,5983.0,88876599956788.0,609.0
43,182,xxxxx,xxxxx,3.0,6.96,18.6,25.2,6.59,6.59,0.0,34567,272,0.16211,4429.0,223.0,6.24,xxxxx,464.0
44,440,88876599956788.0,88876599956788.0,24.0,18.1,88876599956788.0,19.1,14.98,14.98,0.0,34567,487,5.69175,3.5459,666.0,6114.0,79.8,583.0
45,402,0.0,386.73,xxxxx,18.1,xxxxx,xxxxx,18.85,18.85,0.0,34567,xxxxx,9.96654,1.9784,666.0,6485.0,100.0,xxxxx
46,130,-26543765432345.0,392.63,-26543765432345.0,2.46,17.8,50.0,4.45,4.45,0.0,34567,187,0.05602,-26543765432345.0,193.0,7831.0,53.6,488.0
47,264,0.0,396.9,24.0,18.1,xxxxx,8.3,19.77,19.77,0.0,34567,404,24.8017,xxxxx,666.0,5349.0,96.0,693.0
48,38,25.0,390.68,8.0,5.13,19.7,23.3,6.86,6.86,0.0,34567,59,0.15445,7.8148,284.0,6145.0,29.2,453.0
49,343,88876599956788.0,292.29,5.0,19.58,14.7,17.4,14.43,14.43,0.0,34567,171,1.20742,2.4259,403.0,5875.0,88876599956788.0,605.0
50,402,88876599956788.0,88876599956788.0,24.0,18.1,88876599956788.0,15.4,18.85,18.85,0.0,34567,444,9.96654,1.9784,88876599956788.0,6485.0,100.0,0.74
51,359,20.0,384.07,5.0,3.97,13.0,30.7,14.79,14.79,0.0,34567,267,0.7857,2.1329,264.0,7014.0,84.6,647.0
52,35,90.0,-26543765432345.0,5.0,1.22,17.9,35.4,4.81,4.81,0.0,34567,56,0.01311,-26543765432345.0,226.0,7249.0,-26543765432345.0,403.0
53,308,0.0,396.9,24.0,18.1,20.2,20.1,xxxxx,xxxxx,0.0,34567,xxxxx,13.0751,2.8237,666.0,5713.0,56.7,0.58
54,83,0.0,378.09,2.0,25.65,19.1,20.5,88876599956788.0,88876599956788.0,0.0,34567,123,0.09299,2.0869,188.0,88876599956788.0,92.9,581.0
55,16,0.0,394.54,4.0,8.14,,14.5,19.88,19.88,,34567,24.0,0.98843,4.0952,,5813.0,,538.0
56,152,,396.9,8.0,6.2,17.4,,7.6,7.6,0.0,34567,224.0,,3.2721,307.0,6618.0,80.8,507.0
57,274,0.0,7.68,24.0,18.1,20.2,8.3,24.39,24.39,gdhg7u8whui 784gryb,34567,gdhg7u8whui 784gryb,15.8603,1.9096,666.0,5896.0,gdhg7u8whui 784gryb,679.0
58,82,0.0,377.67,2.0,25.65,gdhg7u8whui 784gryb,20.3,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,34567,gdhg7u8whui 784gryb,0.07165,2.1974,188.0,6004.0,84.1,gdhg7u8whui 784gryb
59,128,gdhg7u8whui 784gryb,394.12,3.0,2.46,17.8,37.9,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,183,0.09103,2.7006,193.0,7155.0,92.2,488.0
60,196,-26543765432345.0,396.9,-26543765432345.0,13.92,16.0,23.9,8.58,8.58,0.0,34567,294,0.08265,5.5027,289.0,-26543765432345.0,18.4,437.0
61,301,0.0,396.9,24.0,18.1,20.2,19.5,13.99,13.99,0.0,34567,463,6.65492,2.7344,666.0,6317.0,83.0,713.0
62,262,0.0,396.9,24.0,18.1,20.2,xxxxx,26.77,26.77,0.0,34567,401,xxxxx,1.5888,666.0,5987.0,100.0,693.0
63,9,0.0,380.02,4.0,8.14,21.0,18.2,10.26,10.26,0.0,34567,-26543765432345,0.63796,4.4619,307.0,-26543765432345.0,84.5,-26543765432345.0
